Anomaly,Latency (ms),Throughput (mb/s)
0,12.87260615400741,14.336237019026079
0,15.404507808948834,15.073667776781557
0,13.5532941435376,13.724434068421344
0,13.711090014297227,14.532908272281679
0,15.235301895808654,15.887155350644633
0,14.180700626792872,14.26415427182101
0,14.686210499971313,14.012049836306097
0,12.544732230361626,16.241619096933466
0,13.000287955351618,15.017034108691691
0,14.678256837286941,14.931708813455122
0,14.029024689302291,15.298978253317578
0,14.48361936316301,14.52133038796066
0,13.262874340532546,16.157907943844346
0,13.776629016096264,14.43024805247755
0,13.841278198523973,15.465176562458895
0,15.759646827319692,14.824786993186377
0,14.341131867280197,16.46366983078033
0,12.818660762587811,16.257063580940418
0,13.719959148820031,14.581949650938583
0,13.084945495138236,15.805377667609745
0,14.567499767510306,13.436393459938609
1,20.682220352998566,9.39387626227279
0,15.401589809305216,14.530186029544058
0,11.472326213196078,15.322739402149574
0,13.057575005702299,14.75865759940895
0,12.517154917753606,13.959491124947279
1,5.993088067752304,25.631684303295884
0,14.751755561312834,16.1015261330018
0,13.045047304357515,14.953847981406438
0,14.508863833849604,14.766121683260193
1,20.076341898074734,9.788461998185328
0,14.888726464103938,15.316701230722757
0,15.37358748816326,15.177437050731795
0,14.341478341022174,15.993229594218395
0,14.123010712822573,16.172491297165273
0,15.339178174548232,14.450754413019313
0,15.873032791973896,16.676659217171437
0,13.796249788687616,13.891870584649691
0,14.157009838172389,15.75569402452538
0,14.474960721048767,14.042974417738327
0,13.61690160795015,15.655396066299945
0,15.117112833040453,15.010474635591287
0,14.436475807065161,14.714677004842974
0,15.046312200148625,14.159541570789113
0,13.008601948396764,14.189345080544456
0,14.759736806466053,16.352498449490643
0,14.682098519627283,15.930835916133253
0,13.437736785221615,14.997041956758432
0,12.937885069256259,15.213506369116587
0,14.796003907636054,15.40633296275774
0,13.026796123300796,14.272829013609256
0,14.962959557126105,15.093475797107125
0,13.163298443966756,15.291246601582738
0,13.554379301959687,14.58476873261174
0,13.134267704797166,14.930534973678508
0,14.225725951614526,16.011682444331854
0,12.717769493395815,15.514620683230527
0,14.54036053537546,15.5906335206451
0,14.621689804500948,16.07309186241992
0,12.291942580244964,14.360123614683168
0,14.717221281614014,14.672440247337764
0,14.797415362855693,15.623463907752262
0,14.581352558980893,14.629301752765251
0,13.079547556238326,13.681574809710556
1,5.79496067414482,19.892179334676303
0,13.003929861114294,14.735215093771409
0,15.087003583063838,14.064684147734559
0,14.756674289846318,14.63488750559764
0,13.684004039636694,15.089170586203885
0,14.017748933866786,16.694414309414743
0,14.93800901633097,14.224869213833538
0,14.094945381312868,14.819758991991002
0,12.660553137146692,15.46489766265293
0,13.596435274143063,14.669216777961704
0,14.190863793041997,14.224451969208818
0,14.722053849414474,15.698701778137629
0,14.892082546808963,13.854166677456977
0,13.682057941228983,16.663871116248103
0,14.594681784640736,15.286229673583087
0,12.734228912470758,12.809067343627037
0,13.220231805551704,17.110768418884277
0,11.679771650101955,14.361842386118084
0,14.631085847943211,14.6019035092858
0,13.472763206373518,14.515182924440152
0,16.004074883595766,15.107135674793595
0,12.991261687547345,13.20918749156849
0,13.288331109957424,15.290841009668666
0,15.370144126897127,16.051286431065257
0,12.613346735594536,15.110410047687328
0,14.227717642442634,15.171750892931305
0,14.093953010051248,15.135732484042322
0,12.836527561324205,14.983683328115548
0,14.586961739796463,15.316855020657524
0,13.684876867130484,15.932820284426002
0,13.784832284112383,15.932157677444442
0,14.193898536046886,13.639404297854048
0,14.274562399120407,15.19361611591505
0,15.337624322764682,15.541949948365794
0,13.213989930368037,15.679756192044438
0,13.941926576810939,15.904712066619282
0,15.791030682477224,17.246404934740056
0,13.269237254906358,14.328458979440786
0,13.39996833688286,14.150917957341692
0,14.518536024842735,15.792856796070126
0,12.585111774125059,14.068832772459578
0,13.572660983707895,13.886538065194165
0,14.537691928898989,15.011009716334687
0,14.671746826176484,13.870392028323272
0,14.39061746891701,15.544936983319667
0,14.34600898245954,14.932104042736164
0,13.166860933995604,14.500105372694788
1,7.127383817610083,22.88242176089975
0,14.047441386376164,16.205388940086323
0,14.059137279202979,15.56015682635979
0,15.715361241131355,15.58094055964042
0,13.866456600400374,14.752354421319238
0,15.391646372037917,14.372246546687837
0,14.533869596452199,14.766587689385636
0,13.809486415574892,15.087871336322547
1,4.674656284984233,22.739393747341172
0,13.61287750300839,15.425849000030743
0,15.178299909203307,15.155948476819988
0,15.017575111734306,15.217235300832595
0,14.916094376179883,13.022701548167285
0,14.053413742813067,15.445087724458737
0,13.108321268005701,15.670120828519039
0,14.235364360778131,14.220855595395122
0,13.494818432578946,15.305453283759254
0,13.375874962300733,14.102851278022623
0,14.909687688782851,16.3245667826918
0,13.854783108575873,15.92863794181841
0,12.620610512336938,14.590073763755505
0,14.40590664565896,13.520887339269173
0,15.33029206504628,15.018828573654138
0,15.07378792607172,15.305040775922995
0,13.303468989522484,15.352590512306689
0,13.488121345577175,15.076940016862395
0,12.951623434895765,14.551918252628044
0,14.274801257603745,14.646775663137648
0,13.490520870309128,13.31163477733552
0,13.306231827843625,15.474511735006406
0,13.2052070285877,15.33964000493589
0,13.385751619085687,15.836476312703034
0,13.370286073843578,14.538625117595323
0,13.957166921727438,15.794586067404843
0,12.791150754732518,13.935747129012235
0,13.295893385457362,16.790215241383063
0,13.909429494851638,15.344229153226289
0,14.464294901072398,15.329979635049646
1,20.870381725508363,11.653393309226749
0,13.889620728357055,15.103949639139325
0,13.183632139004096,15.243892974443462
0,14.30595326646566,15.216363970332004
0,14.136452423153075,14.379071255673024
0,14.013817031123835,15.056267962539208
0,13.36741890956889,15.982305027886598
0,15.590132140851786,15.201093489518811
0,13.594472743930671,15.14743186857071
0,13.00941939903823,14.84718695212118
0,14.558741734889846,14.267982995878059
0,13.548411219745311,13.477281352291246
0,13.49193986963971,14.381083627445646
0,12.631909316494177,14.880674353194076
0,14.234445671439419,14.53661654063027
1,23.403214005631256,10.051409798519453
1,20.303842357874352,8.911256204149506
0,14.601346027875831,14.727233662526963
0,12.372166598926636,14.49049677973326
0,16.123852323952818,13.848595048277875
0,14.068000506750906,14.744495680065295
0,13.832484439707947,15.761319288574791
1,20.275439412519336,9.29731476413982
0,14.04062479902337,16.683261785764362
0,14.995407798201555,15.505918511270572
0,13.237704118572013,15.840459282788844
0,14.66979675576244,15.320734532871288
0,14.95243040597647,13.28766133801655
0,14.821712860299286,15.014087624812474
0,11.423194496476386,13.525064578518274
0,13.697007562328066,15.706582822576442
0,14.529283107225028,16.58522067524084
0,15.130726460776405,16.30131654920163
0,12.208527855435033,15.277939434330289
0,12.581535403325322,15.27177833200198
0,14.159522425262148,14.351239169588098
0,14.189480951648635,16.422931101219568
0,14.618058303767295,14.772790436246945
0,14.496676105169174,15.834291132380134
0,12.864352523518624,15.49267356992831
0,14.779791059947982,15.20453195172741
